year,age,males,females
2020,0,2943869,2840381
2020,5,2901931,2798835
2020,10,2753974,2660489
2020,15,2331166,2252085
2020,20,2424376,2366586
2020,25,2761160,2709949
2020,30,2870783,2819281
2020,35,2380384,2337648
2020,40,1654462,1619533
2020,45,1394163,1501804
2020,50,1399526,1698175
2020,55,971912,1321597
2020,60,589805,969616
2020,65,477104,828009
2020,70,344199,642662
2020,75,203017,408429
2020,80,105731,235813
2020,85,45286,129326
2020,90,20220,62964
2020,95,6465,15554
2020,100,1246,2400